distance,enemyBulletPower,myAdvancingVelocity,myLateralAcceleration,myLateralVelocity,type,guessFactor
734.90,3.00,0.49,-0.00,7.98,MISS,0.55
732.89,3.00,-4.69,-0.00,6.48,MISS,0.63
643.82,3.00,-5.00,-0.00,6.24,MISS,0.75
571.51,3.00,-4.22,-0.00,6.80,MISS,0.81
499.78,3.00,-2.16,-0.00,7.70,MISS,0.75
488.64,3.00,1.95,-0.00,7.76,MISS,0.63
563.53,3.00,0.93,0.98,4.91,MISS,0.71
626.48,3.00,-3.57,-0.00,7.16,MISS,0.81
659.73,3.00,-1.56,-0.00,7.85,MISS,0.67
668.00,3.00,0.25,-0.00,8.00,MISS,0.48
671.37,3.00,-1.11,-0.00,7.92,MISS,0.34
584.35,3.00,1.77,-0.00,7.80,MISS,0.70
489.89,3.00,2.10,-0.00,7.72,MISS,0.56
502.21,3.00,2.01,-0.02,7.72,BULLETHITBULLET,0.04
570.47,3.00,-3.74,-0.00,4.69,MISS,-0.42
601.75,3.00,-3.11,0.63,2.52,MISS,-0.72
584.03,3.00,1.60,0.00,7.84,MISS,0.85
502.20,3.00,-3.37,0.00,7.26,MISS,0.76
411.41,3.00,-3.43,0.00,7.23,MISS,0.79
403.54,3.00,0.79,0.00,7.96,MISS,0.67
424.77,3.00,-0.49,1.00,7.98,MISS,0.55
370.87,3.00,-6.21,0.00,5.04,HIT,0.38
375.67,3.00,-4.07,0.00,6.89,HIT,0.73
406.41,3.00,-0.54,0.00,7.98,MISS,0.98
438.63,3.00,2.42,0.00,7.62,MISS,0.91
571.16,3.00,2.01,0.00,7.74,MISS,0.87
558.56,3.00,0.62,0.00,7.98,MISS,0.86
536.23,3.00,-0.69,0.00,7.97,MISS,0.34
578.99,3.00,-0.49,0.00,7.98,MISS,-0.32
578.61,3.00,0.25,-2.00,5.99,MISS,-0.76
574.49,3.00,-0.87,-0.00,7.95,MISS,0.69
566.98,3.00,-1.04,-0.00,7.93,MISS,0.49
564.26,0.20,-0.07,1.00,1.00,MISS,-0.18
565.21,3.00,-0.09,-0.00,8.00,MISS,0.28
560.78,0.20,0.20,1.37,0.48,MISS,-0.26
585.47,0.20,-1.26,0.76,1.47,MISS,0.43
567.26,0.20,-2.83,0.70,2.80,MISS,0.51
518.30,0.20,-5.86,-0.00,5.45,MISS,0.52
504.62,0.20,-3.30,-1.67,5.01,BULLETHITBULLET,0.07
526.70,0.20,-2.35,-1.84,5.52,MISS,0.90
474.82,0.20,-3.12,-0.00,7.37,MISS,0.91
377.05,0.20,-2.78,-0.00,7.50,MISS,0.58
379.01,3.00,3.09,0.00,7.38,MISS,0.94
470.45,3.00,2.49,0.00,7.60,MISS,0.93
501.98,3.00,1.98,0.00,7.75,MISS,0.78
533.61,3.00,1.85,0.00,7.78,MISS,0.30
574.37,3.00,-1.97,0.97,7.75,MISS,-0.31
524.63,3.00,-4.45,0.67,4.02,MISS,-0.81
613.48,3.00,1.61,-1.93,5.78,MISS,0.88
587.11,3.00,-2.01,-0.00,7.74,MISS,0.79
510.74,3.00,-0.93,-0.00,7.95,MISS,0.38
558.20,3.00,0.92,-0.00,7.95,MISS,-0.28
673.65,3.00,-0.90,-1.98,5.93,MISS,-0.79
660.67,3.00,-0.44,-1.99,4.98,MISS,0.69
541.61,3.00,-1.66,0.00,7.83,MISS,0.56
528.27,3.00,0.03,0.00,8.00,MISS,0.32
652.14,3.00,1.12,-1.92,3.84,BULLETHITBULLET,0.05
644.25,3.00,-0.04,-2.00,0.87,MISS,0.57
604.68,3.00,-1.98,0.70,1.92,MISS,-0.86
601.31,3.00,0.59,-0.00,7.98,MISS,0.83
594.04,3.00,0.11,-0.00,8.00,MISS,0.65
594.43,3.00,0.07,-0.00,8.00,MISS,0.21
582.39,3.00,-3.01,-0.00,7.41,MISS,-0.37
537.88,3.00,-1.69,0.53,1.06,MISS,-0.82
600.02,3.00,1.61,0.00,7.84,MISS,0.92
627.40,3.00,-1.27,0.00,7.90,MISS,0.68
514.76,3.00,-0.97,0.00,7.94,MISS,0.52
538.40,3.00,0.97,0.00,7.94,MISS,0.32
611.10,0.20,-1.00,0.97,3.87,MISS,0.26
651.95,0.20,0.02,1.80,0.19,MISS,0.35
649.23,0.20,-2.39,0.91,5.28,MISS,0.26
346.81,3.00,3.16,0.00,7.35,MISS,1.04
334.93,3.00,2.76,0.00,7.51,MISS,1.02
358.36,3.00,1.99,0.00,7.75,MISS,1.01
394.71,3.00,1.74,0.00,7.81,MISS,0.98
485.48,3.00,2.16,0.00,7.70,MISS,0.85
446.44,3.00,1.59,0.00,7.84,MISS,0.79
383.51,3.00,-3.40,0.00,7.24,MISS,0.38
401.43,3.00,-0.52,0.00,7.98,MISS,-0.59
347.03,3.00,3.24,0.91,7.31,HIT,0.84
361.81,3.00,2.55,-0.00,7.58,BULLETHITBULLET,0.91
359.14,3.00,-2.35,-0.00,7.65,MISS,0.19
338.84,3.00,-0.28,1.24,0.41,MISS,-0.51
370.37,3.00,2.14,0.95,6.40,MISS,0.42
315.95,3.00,1.78,0.93,4.67,BULLETHITBULLET,0.90
358.24,3.00,-4.10,0.00,6.87,MISS,-0.38
342.16,3.00,-1.41,-0.00,7.88,MISS,0.19
344.13,3.00,-1.45,0.90,2.91,MISS,-0.41
339.25,3.00,2.20,0.93,5.58,MISS,0.48
375.40,3.00,1.57,0.00,7.84,MISS,0.39
351.40,3.00,0.17,1.00,6.00,MISS,-0.67
315.43,3.00,-1.99,0.00,7.75,MISS,0.45
342.09,3.00,1.24,0.00,7.90,BULLETHITBULLET,0.07
332.29,3.00,2.88,0.93,7.46,MISS,0.57
358.55,3.00,2.57,-0.00,7.58,MISS,0.24
391.69,3.00,-4.29,0.77,5.13,MISS,-0.45
385.96,0.20,0.13,0.00,8.00,MISS,0.80
391.91,3.00,0.46,0.93,1.20,MISS,0.67
390.67,0.20,0.87,0.99,6.95,MISS,0.38
396.59,0.20,-0.00,-2.00,-0.00,MISS,0.62
400.48,0.20,0.19,1.00,3.49,MISS,0.67
409.47,0.20,1.11,0.00,7.92,MISS,0.46
424.36,0.20,0.00,1.89,0.00,MISS,0.63
461.82,0.20,2.06,0.95,6.16,MISS,0.44
481.65,0.20,-0.59,-1.99,5.97,HIT,0.15
150.42,3.00,6.98,0.00,3.91,MISS,-0.38
243.88,3.00,7.62,-0.02,1.53,BULLETHITBULLET,-0.06
327.28,3.00,0.56,-1.66,0.83,MISS,-0.76
334.52,3.00,3.41,-0.00,7.24,HIT,0.40
419.04,3.00,2.77,-0.00,7.51,MISS,-0.49
543.60,3.00,1.88,0.00,7.78,BULLETHITBULLET,0.20
497.10,3.00,1.95,0.96,6.72,BULLETHITBULLET,-0.16
574.98,3.00,-4.17,0.00,6.83,MISS,-0.69
560.28,3.00,1.67,-0.00,7.82,MISS,0.74
584.41,3.00,0.53,-0.00,7.98,MISS,0.60
619.50,3.00,-0.78,-0.00,7.96,MISS,0.58
637.17,3.00,-0.00,-1.99,-0.00,BULLETHITBULLET,-0.22
660.60,3.00,0.11,1.00,3.00,MISS,0.52
651.21,3.00,1.63,-0.00,7.83,MISS,0.56
594.84,3.00,-5.20,-0.00,6.08,HIT,0.25
417.64,3.00,2.28,0.00,7.67,BULLETHITBULLET,0.64
451.83,3.00,-7.65,-0.00,2.34,MISS,-0.35
373.07,3.00,0.32,0.95,0.95,MISS,0.39
448.43,3.00,-0.04,-2.00,1.00,MISS,-0.66
469.37,3.00,-0.66,-0.00,7.97,HIT,0.42
399.59,3.00,0.93,0.95,2.85,BULLETHITBULLET,0.69
427.22,3.00,-3.16,-0.00,7.35,MISS,-0.46
395.51,3.00,2.34,0.00,7.65,MISS,0.78
414.86,3.00,2.74,0.00,7.52,MISS,0.73
461.70,3.00,0.79,0.99,5.44,MISS,0.92
444.12,3.00,-0.69,0.00,7.97,MISS,0.46
457.59,3.00,1.16,0.00,7.92,MISS,-0.25
570.62,3.00,-0.00,1.84,0.00,MISS,0.76
552.89,3.00,-1.71,-0.00,7.82,MISS,0.29
581.00,3.00,1.65,-0.00,7.83,HIT,-0.22
625.82,3.00,-0.00,-1.94,-0.00,MISS,-0.74
640.90,3.00,-0.11,0.00,8.00,MISS,0.63
651.05,3.00,1.42,0.00,7.87,MISS,0.54
675.90,3.00,1.57,0.00,7.84,MISS,0.43
668.47,3.00,-3.92,0.83,5.80,MISS,0.04
658.30,3.00,-2.68,0.84,4.22,MISS,-0.29
594.50,3.00,-4.38,0.00,6.70,MISS,-0.65
549.74,3.00,1.73,-0.00,7.81,MISS,0.71
532.30,3.00,-0.27,-0.00,8.00,MISS,0.67
544.93,0.20,-1.49,-0.00,7.86,MISS,0.75
585.47,0.20,-0.19,-1.96,0.98,MISS,0.90
565.57,0.20,-0.08,-0.00,8.00,MISS,0.99
542.77,0.20,0.79,-0.00,7.96,BULLETHITBULLET,0.11
551.49,0.20,-0.08,1.00,8.00,MISS,0.39
515.10,0.20,-2.82,-0.73,5.30,MISS,-0.33
507.87,0.20,0.00,-1.93,-0.00,MISS,-0.92
553.98,0.20,-0.83,0.00,7.96,HIT,0.91
544.57,0.20,-1.45,0.00,7.87,MISS,0.70
566.17,0.20,-0.08,0.00,8.00,MISS,0.67
623.02,0.20,0.09,-2.00,2.00,MISS,0.73
661.86,0.20,1.22,0.98,5.36,MISS,0.91
682.00,0.20,1.56,0.98,7.85,MISS,0.70
697.69,0.20,1.07,0.00,7.93,MISS,0.41
683.15,0.20,-1.69,-1.92,5.76,MISS,0.14
51.27,0.60,1.84,0.39,0.79,MISS,0.51
213.71,3.00,2.56,-0.77,3.08,MISS,-0.53
298.10,3.00,-2.16,0.00,7.70,MISS,-0.46
303.75,3.00,3.76,0.44,7.06,MISS,0.63
350.03,3.00,1.85,-0.00,7.78,MISS,0.56
360.70,3.00,0.80,-1.90,2.37,MISS,-0.34
369.41,3.00,-3.65,-0.00,7.12,MISS,-0.41
367.18,3.00,0.92,0.95,2.86,MISS,0.38
411.65,3.00,2.57,0.00,7.58,MISS,0.13
464.96,3.00,-1.31,0.88,2.42,MISS,-0.42
523.20,3.00,0.70,0.96,2.53,MISS,0.94
553.84,3.00,-0.72,0.00,7.97,BULLETHITBULLET,-0.04
590.44,3.00,1.65,0.00,7.83,MISS,0.82
528.05,3.00,-0.15,0.00,8.00,MISS,0.09
600.05,3.00,-0.95,0.98,4.91,MISS,-0.47
597.24,3.00,-0.07,1.00,1.50,MISS,0.82
580.45,3.00,-0.83,-1.96,3.91,MISS,0.83
524.76,3.00,-2.20,-0.00,7.69,MISS,0.71
434.35,3.00,-1.79,-0.00,7.80,MISS,0.38
449.71,3.00,-0.85,-0.00,7.95,MISS,-0.40
500.37,3.00,-0.19,1.10,0.85,MISS,0.85
427.69,3.00,-0.75,0.00,7.96,MISS,0.72
450.62,3.00,1.94,0.00,7.76,MISS,0.33
247.60,3.00,5.83,-0.00,5.48,MISS,0.71
303.48,3.00,3.05,0.46,7.39,MISS,0.91
361.23,3.00,2.71,-0.00,7.53,MISS,0.60
407.03,3.00,2.14,0.93,5.61,MISS,0.18
473.08,3.00,0.05,-2.00,2.00,MISS,-0.47
493.38,3.00,0.82,-1.97,4.42,MISS,-0.75
557.48,3.00,2.12,0.00,7.71,MISS,0.72
574.83,3.00,1.68,0.00,7.82,MISS,0.25
486.18,3.00,-2.39,0.88,4.39,MISS,-0.23
380.80,3.00,-1.28,-1.54,1.54,MISS,-0.81
405.53,3.00,2.27,-1.85,5.55,MISS,0.90
483.81,3.00,1.97,-0.00,7.75,MISS,0.75
482.64,3.00,1.22,0.97,4.85,MISS,0.53
466.92,3.00,1.79,-0.00,7.80,MISS,0.21
522.82,0.20,-2.36,0.00,7.64,BULLETHITBULLET,0.81
568.30,3.00,0.76,-1.96,3.93,MISS,-0.33
548.88,0.20,-0.64,0.95,1.86,MISS,0.71
635.19,3.00,-0.68,0.98,3.43,MISS,0.54
544.85,0.20,-0.93,-1.98,5.93,MISS,0.65
606.42,0.20,0.41,1.00,6.49,MISS,0.30
643.76,0.20,1.06,0.98,4.89,MISS,-0.36
664.05,0.20,0.30,-1.91,0.95,MISS,-0.81
653.24,0.20,-1.09,-1.97,5.90,MISS,0.97
635.79,0.20,-1.13,-0.00,7.92,HIT,0.83
642.66,0.20,0.55,-0.00,7.98,MISS,0.64
673.12,0.20,1.58,-0.00,7.84,MISS,0.36
672.98,0.20,-2.12,-0.00,7.72,MISS,0.07
666.13,0.20,0.12,-1.99,1.50,HIT,-0.09
579.65,3.00,-1.51,-0.00,7.86,MISS,0.36
495.38,3.00,2.23,0.00,7.68,MISS,-0.62
438.13,3.00,-2.74,-0.00,7.52,MISS,0.87
541.34,3.00,2.19,-0.00,7.69,BULLETHITBULLET,-0.28
469.25,3.00,0.15,-0.00,8.00,MISS,0.36
554.18,3.00,-1.65,0.94,4.72,MISS,-0.43
574.69,3.00,1.01,0.98,4.90,MISS,0.20
536.42,3.00,-6.04,-0.00,5.25,MISS,-0.42
496.80,3.00,0.00,-1.92,-0.00,MISS,-0.84
556.14,3.00,1.75,0.00,7.81,MISS,0.88
517.52,3.00,-2.18,0.00,7.70,MISS,0.80
483.16,3.00,-1.80,0.00,7.79,MISS,0.29
525.75,3.00,1.28,0.00,7.90,MISS,-0.37
506.52,3.00,-1.87,-0.00,7.78,BULLETHITBULLET,0.30
544.39,3.00,-0.60,0.95,1.91,MISS,0.63
520.07,3.00,-3.18,-0.00,7.34,HIT,0.55
503.10,0.20,-0.23,0.99,1.48,HIT,0.31
523.42,0.20,0.53,-0.00,7.98,MISS,-0.42
539.35,0.20,-0.37,0.98,1.96,MISS,0.53
531.12,0.20,-0.65,0.00,7.97,MISS,0.57
518.37,0.20,0.03,1.50,0.50,MISS,-0.68
517.80,0.20,-0.16,1.00,4.93,MISS,0.60
522.62,0.20,1.14,0.00,7.92,MISS,0.22
557.60,0.20,-0.38,0.92,0.92,MISS,0.03
179.69,3.00,1.36,0.00,7.88,HIT,0.61
191.45,3.00,-0.13,-1.98,0.99,MISS,-0.76
229.23,3.00,-0.09,-0.00,8.00,MISS,0.77
326.70,3.00,1.89,-0.00,7.77,HIT,-0.48
314.32,3.00,3.23,0.00,7.32,MISS,0.35
451.35,3.00,0.17,1.00,5.00,MISS,-0.48
433.40,3.00,-0.47,-1.98,2.96,MISS,0.88
417.20,3.00,-0.37,-0.00,7.99,MISS,0.97
346.28,3.00,-0.43,-0.00,7.99,HIT,0.90
393.67,3.00,2.99,-0.00,7.42,MISS,0.49
477.99,3.00,0.82,-1.96,3.91,MISS,0.45
502.56,3.00,-0.02,1.75,0.25,MISS,0.73
419.75,3.00,-2.54,-0.00,7.59,MISS,0.93
458.88,3.00,2.35,-0.00,7.65,BULLETHITBULLET,0.74
435.05,3.00,0.33,-0.00,7.99,MISS,0.58
479.68,3.00,-1.16,0.81,1.63,MISS,-0.79
515.67,3.00,1.97,-0.00,7.75,BULLETHITBULLET,0.01
500.43,3.00,2.04,-0.00,7.74,MISS,1.00
534.37,3.00,2.20,-0.00,7.69,MISS,0.44
560.54,3.00,1.89,-0.00,7.77,MISS,-0.07
582.26,3.00,0.51,-0.00,7.98,MISS,-0.59
589.75,3.00,0.12,-2.00,2.00,MISS,0.51
618.55,3.00,0.26,1.00,3.49,BULLETHITBULLET,0.43
601.00,3.00,1.57,0.00,7.84,HIT,0.37
615.09,3.00,1.08,0.00,7.93,MISS,0.28
620.20,3.00,-0.38,1.00,5.24,MISS,-0.35
522.84,3.00,-7.30,0.00,3.28,BULLETHITBULLET,0.23
618.65,3.00,0.08,1.00,1.47,MISS,0.22
611.49,3.00,-2.38,0.95,7.64,MISS,-0.28
523.43,3.00,2.02,-0.00,7.74,MISS,0.95
553.21,3.00,1.87,-0.00,7.78,MISS,0.78
561.65,3.00,1.66,-0.00,7.83,MISS,0.62
568.85,3.00,1.67,-0.00,7.82,MISS,0.27
564.43,3.00,-0.63,-1.95,2.93,MISS,-0.34
595.31,3.00,1.78,0.00,7.80,BULLETHITBULLET,0.41
574.86,3.00,-1.19,-1.84,2.75,MISS,-0.74
567.46,3.00,2.08,0.00,7.72,MISS,0.91
628.50,3.00,0.16,0.00,8.00,MISS,0.18
625.73,3.00,-0.04,0.00,8.00,MISS,-0.33
634.15,3.00,0.52,0.99,3.46,MISS,-0.69
637.72,3.00,-0.23,1.00,5.81,MISS,0.79
640.87,3.00,0.79,-0.00,7.96,MISS,0.58
646.51,3.00,0.38,1.00,4.99,MISS,0.19
596.46,0.20,-1.16,-1.63,1.63,MISS,-0.44
597.92,0.20,-0.33,1.13,0.38,MISS,-0.84
644.56,0.20,1.44,0.98,7.61,MISS,0.98
641.34,0.20,-0.18,0.00,8.00,MISS,0.64
615.54,0.20,0.33,0.00,7.99,MISS,0.52
619.24,0.20,0.76,0.00,7.96,HIT,0.45
614.15,0.20,0.42,1.00,4.98,MISS,-0.72
595.99,0.20,-0.38,0.50,7.99,HIT,0.62
577.32,0.20,-0.48,0.00,7.99,HIT,0.20
575.15,0.20,-0.97,0.97,3.88,MISS,-0.58
584.80,0.20,-0.27,0.99,1.86,MISS,0.98
595.66,0.20,-1.70,-0.00,7.82,MISS,1.06
593.42,0.20,-1.51,-0.00,7.86,MISS,1.05
533.29,0.20,-0.03,-0.00,8.00,MISS,0.98
539.56,0.20,1.24,-0.00,7.90,HIT,0.48
543.10,0.20,-1.09,-0.00,7.93,MISS,-0.31
551.48,0.20,-0.10,1.00,1.00,HIT,0.85
541.43,0.20,-1.42,0.00,7.87,MISS,1.03
524.13,0.20,-1.74,0.00,7.81,MISS,1.06
486.45,0.20,-0.79,0.00,7.96,BULLETHITBULLET,0.52
501.79,0.20,-1.92,0.00,7.77,MISS,1.03
492.30,0.20,1.50,0.00,7.86,MISS,-0.30
530.51,0.20,-0.76,0.93,1.85,MISS,0.30
513.91,0.20,-2.66,-0.00,7.55,MISS,-0.36
460.47,0.20,0.83,0.96,2.88,MISS,0.82
437.88,3.00,1.98,0.96,6.71,MISS,-0.70
437.74,3.00,2.38,0.00,7.64,MISS,0.88
361.00,3.00,2.98,0.00,7.42,MISS,0.77
286.83,3.00,3.41,0.00,7.24,MISS,0.64
228.82,3.00,-0.00,1.50,0.50,MISS,-0.51
347.32,3.00,-1.53,0.97,5.80,BULLETHITBULLET,0.91
278.22,3.00,2.56,0.86,4.30,MISS,-0.32
316.99,3.00,-0.76,-1.85,1.85,MISS,-0.85
361.15,3.00,2.58,0.00,7.57,MISS,0.76
402.55,3.00,0.68,0.00,7.97,MISS,0.18
445.72,3.00,-0.99,0.94,2.83,MISS,-0.43
521.06,3.00,1.64,0.97,6.80,BULLETHITBULLET,-0.23
551.56,3.00,-2.64,-0.88,6.48,MISS,-0.45
559.41,3.00,0.65,0.98,2.93,MISS,0.75
548.96,3.00,-1.83,0.00,7.79,HIT,0.66
481.25,3.00,-1.12,-1.92,3.84,MISS,0.71
490.45,3.00,-2.22,0.00,7.69,MISS,0.23
470.26,3.00,-0.40,0.00,7.99,MISS,-0.40
507.52,3.00,-0.87,0.98,3.90,MISS,0.71
520.71,3.00,-1.40,0.98,6.86,MISS,0.19
547.37,3.00,0.37,-1.96,1.96,MISS,-0.39
602.94,3.00,0.20,0.98,0.98,MISS,-0.71
545.33,3.00,-0.57,-1.99,5.97,HIT,0.62
566.81,3.00,1.65,-1.92,5.77,MISS,0.16
639.75,3.00,-2.00,0.96,6.71,MISS,-0.40
584.35,3.00,-2.05,-1.46,2.19,MISS,-0.84
609.97,3.00,1.65,-0.00,7.83,BULLETHITBULLET,0.55
584.17,3.00,2.06,-1.88,5.63,MISS,0.71
