distance,myBulletPower,opponentAdvancingVelocity,opponentBackwardWall,opponentCurrentGuessFactor,opponentForwardWall,opponentLateralVelocity,opponentTimeSinceLastDeceleration,type,guessFactor
555.76,0.10,-0.36,0.74,0.20,0.96,5.49,5.00,HIT,0.44
556.94,0.10,1.08,0.65,-0.42,0.96,7.93,7.00,MISS,-0.36
557.96,0.10,-0.19,0.80,0.54,0.90,1.99,2.00,MISS,0.49
570.06,0.10,1.94,0.64,-0.26,0.97,7.76,15.00,BULLETHITBULLET,0.36
568.19,0.10,0.00,0.82,0.00,0.83,-0.00,28.00,MISS,-0.00
556.57,0.10,0.00,0.84,0.00,0.84,-0.00,39.00,MISS,-0.00
556.45,0.10,-0.00,0.84,-0.00,0.84,-0.00,50.00,MISS,-0.00
556.11,0.10,0.00,0.84,-0.00,0.84,-0.00,61.00,MISS,0.00
555.96,0.10,0.00,0.84,-0.00,0.84,-0.00,72.00,HIT,-0.00
325.45,1.99,0.00,0.76,0.00,0.75,-0.00,30.00,MISS,0.94
349.13,1.99,-1.01,0.57,0.55,0.90,7.94,45.00,MISS,0.51
350.08,1.99,-0.98,0.74,0.44,0.92,4.39,1.00,MISS,-0.79
402.01,1.99,4.57,0.62,-0.42,0.89,6.57,14.00,MISS,0.45
433.00,1.99,0.49,0.77,0.27,0.87,2.96,3.00,MISS,-0.28
477.51,1.99,-0.31,0.77,0.13,0.93,4.99,5.00,MISS,0.98
483.74,1.99,-0.83,0.68,0.54,0.89,7.96,8.00,MISS,0.48
479.47,1.99,-0.57,0.69,0.95,0.91,7.98,22.00,MISS,0.35
575.99,1.99,3.76,0.63,-0.42,0.84,7.06,5.00,BULLETHITBULLET,0.43
503.15,1.99,-0.54,0.79,0.49,0.89,3.25,3.00,MISS,-0.93
649.14,1.99,2.20,0.60,-0.86,0.84,7.69,19.00,MISS,-0.92
645.33,1.99,-4.50,0.72,-0.08,0.73,6.62,9.00,MISS,1.00
586.99,1.99,-5.26,0.73,-0.53,0.71,6.03,23.00,MISS,0.94
505.89,1.99,-5.47,0.69,0.74,0.72,5.84,37.00,MISS,0.92
421.58,1.71,-2.74,0.74,0.82,0.76,4.18,0.00,HIT,0.98
367.13,1.10,-3.23,0.53,0.53,0.78,7.32,14.00,MISS,0.76
312.88,1.99,-3.32,0.63,0.67,0.37,5.00,0.00,MISS,-0.81
343.09,1.23,-0.28,0.45,-0.21,0.95,8.00,8.00,MISS,0.64
367.93,1.15,-0.51,0.56,0.60,0.95,7.98,4.00,MISS,-0.89
481.50,0.52,-1.05,0.67,0.65,0.85,4.89,2.00,BULLETHITBULLET,0.40
483.30,0.54,0.37,0.67,0.35,0.81,1.96,2.00,MISS,0.15
488.10,0.50,-3.66,0.56,0.21,0.78,7.11,8.00,MISS,-1.00
613.15,0.10,3.23,0.69,0.88,0.95,7.32,32.00,BULLETHITBULLET,0.37
516.34,0.48,1.58,0.47,-0.20,0.92,7.84,8.00,MISS,1.00
654.04,0.10,2.57,0.68,0.72,0.87,7.58,43.00,MISS,0.96
685.26,0.10,-0.80,0.70,0.35,0.71,7.96,54.00,MISS,0.99
654.40,0.10,-5.79,0.72,0.69,0.54,5.52,65.00,HIT,0.91
561.24,0.43,-6.97,0.67,0.82,0.41,3.93,78.00,MISS,0.60
469.20,0.42,-7.55,0.62,0.92,0.30,2.65,89.00,MISS,-0.27
447.41,0.42,1.03,0.29,0.61,0.86,2.28,2.00,HIT,0.12
456.76,0.40,1.10,0.33,-0.26,0.91,3.45,0.00,BULLETHITBULLET,0.46
414.77,0.43,-6.64,0.55,-0.44,0.48,4.47,10.00,MISS,-0.38
359.81,0.17,0.68,0.30,0.32,0.84,1.88,2.00,MISS,1.00
381.19,0.17,3.06,0.27,0.55,0.92,7.39,3.00,MISS,0.63
397.84,0.17,0.43,0.52,0.53,0.95,7.99,3.00,MISS,-0.33
401.62,0.16,1.67,0.69,0.07,0.78,3.29,4.00,MISS,-0.27
450.28,0.16,-0.18,0.67,0.19,0.94,4.65,4.00,MISS,-0.08
465.69,0.16,0.75,0.75,0.34,0.86,1.85,2.00,MISS,1.00
488.78,0.16,2.47,0.62,0.39,0.91,7.61,13.00,MISS,0.63
458.38,0.15,-2.67,0.58,0.88,0.81,7.54,24.00,MISS,-0.17
381.42,0.10,1.10,0.54,0.18,0.86,2.17,2.00,HIT,0.96
401.10,0.10,3.49,0.46,0.50,0.92,7.20,5.00,MISS,0.58
433.87,0.10,1.92,0.57,0.54,0.96,7.77,3.00,MISS,-0.67
437.51,0.10,1.57,0.72,-0.00,0.86,3.41,4.00,MISS,1.00
501.32,0.10,3.47,0.61,0.50,0.81,7.21,16.00,BULLETHITBULLET,-0.79
502.26,0.10,-1.40,0.61,1.00,0.73,7.88,27.00,HIT,-0.79
471.86,0.10,1.24,0.42,0.03,0.94,3.80,4.00,MISS,0.61
502.67,0.10,-0.66,0.79,0.61,0.72,2.41,2.00,BULLETHITBULLET,0.96
506.31,0.10,1.85,0.50,-0.58,0.94,7.78,15.00,MISS,0.51
516.24,0.10,2.30,0.60,0.36,0.95,7.34,8.00,BULLETHITBULLET,0.37
549.20,0.10,0.77,0.67,0.19,0.89,2.90,3.00,BULLETHITBULLET,1.00
543.40,0.10,1.20,0.77,0.13,0.84,3.29,3.00,MISS,-0.50
570.09,0.10,3.47,0.64,-0.30,0.95,7.21,16.00,MISS,0.99
597.25,0.10,1.86,0.67,0.35,0.91,7.78,7.00,MISS,0.64
594.49,0.10,0.77,0.68,0.70,0.75,7.96,2.00,HIT,0.39
557.08,0.10,1.02,0.41,0.69,0.88,1.72,2.00,BULLETHITBULLET,0.96
564.16,0.10,-1.77,0.81,0.08,0.50,1.77,2.00,HIT,0.95
534.63,0.10,-4.12,0.65,0.49,0.57,6.86,13.00,MISS,0.22
540.46,0.10,0.00,0.83,0.73,0.55,-0.00,4.00,HIT,-0.00
552.52,0.10,0.00,0.85,0.22,0.60,-0.00,15.00,HIT,-0.01
533.63,0.10,0.00,0.75,-0.00,0.55,-0.00,26.00,HIT,0.00
536.92,0.10,0.00,0.82,0.00,0.56,-0.00,37.00,HIT,0.01
549.17,0.10,0.00,0.82,0.00,0.61,-0.00,48.00,HIT,0.01
570.49,1.99,0.00,0.82,0.00,0.81,-0.00,28.00,MISS,0.96
554.68,1.99,-0.67,0.71,0.27,0.79,7.97,42.00,MISS,0.70
544.68,1.99,-0.49,0.70,0.68,0.53,7.99,56.00,MISS,-0.20
576.76,1.99,1.09,0.67,-0.67,0.88,7.92,25.00,MISS,0.62
602.39,1.99,-0.67,0.72,0.70,0.69,7.97,39.00,MISS,0.64
633.38,1.99,-0.73,0.79,0.34,0.60,3.93,4.00,HIT,0.99
610.18,1.99,-4.36,0.74,0.40,0.45,6.71,18.00,MISS,0.24
518.13,1.99,2.05,0.31,0.42,0.93,7.73,8.00,MISS,0.65
542.43,1.99,0.75,0.49,-0.19,0.88,2.38,2.00,MISS,0.63
604.13,0.10,0.95,0.77,0.61,0.92,3.89,0.00,MISS,0.31
603.11,0.10,0.83,0.80,0.42,0.91,2.88,3.00,MISS,-0.20
604.79,0.10,0.53,0.72,0.64,0.83,5.98,0.00,MISS,-1.00
610.74,0.10,3.75,0.65,0.18,0.94,7.07,8.00,MISS,1.00
664.74,0.10,4.16,0.69,-0.59,0.90,6.83,19.00,MISS,0.94
707.80,0.10,3.67,0.73,-1.00,0.78,7.11,30.00,HIT,0.98
692.50,0.10,-1.76,0.72,0.95,0.65,7.80,41.00,MISS,0.95
612.35,0.10,-6.47,0.68,0.92,0.49,4.71,52.00,HIT,0.93
449.67,1.67,-0.33,0.51,0.16,0.93,4.99,5.00,HIT,0.23
506.91,1.71,0.33,0.79,0.24,0.91,2.98,3.00,MISS,0.56
520.44,1.71,2.85,0.64,-0.33,0.93,7.48,21.00,MISS,-0.39
521.80,1.71,-1.09,0.80,0.58,0.72,4.37,4.00,MISS,0.74
518.25,1.71,-0.80,0.72,-0.04,0.70,6.83,7.00,MISS,0.84
505.16,1.71,-4.09,0.67,0.61,0.67,6.87,9.00,HIT,0.88
493.64,0.76,-1.14,0.77,0.82,0.79,2.77,2.00,MISS,0.72
476.53,1.71,2.22,0.65,-0.02,0.93,6.64,7.00,MISS,1.00
535.93,1.71,0.61,0.65,0.84,0.94,7.98,11.00,MISS,0.53
487.43,0.43,-0.49,0.63,0.84,0.96,7.98,9.00,MISS,0.15
451.39,0.62,1.79,0.71,0.60,0.83,3.58,4.00,MISS,-0.48
480.31,0.87,1.35,0.75,0.11,0.92,4.29,4.00,MISS,0.03
519.67,0.80,0.63,0.70,-0.46,0.90,5.97,0.00,MISS,-1.00
540.03,0.73,-0.68,0.67,0.20,0.92,7.97,10.00,MISS,0.55
551.59,0.67,-1.17,0.66,-0.81,0.76,7.91,22.00,MISS,-0.20
557.89,0.61,1.05,0.53,0.66,0.88,1.70,2.00,MISS,0.00
608.21,0.57,4.05,0.56,0.00,0.93,6.90,6.00,MISS,-0.77
632.57,0.53,-0.07,0.72,0.23,0.61,7.50,7.00,HIT,0.47
618.69,0.46,-1.15,0.46,0.44,0.96,7.92,9.00,MISS,0.76
621.53,0.15,-0.91,0.62,-0.59,0.95,7.95,22.00,MISS,0.39
635.29,0.10,0.51,0.80,0.76,0.87,1.93,0.00,MISS,0.00
646.80,0.10,-0.00,0.83,0.39,0.84,-0.00,10.00,HIT,-0.00
266.96,1.99,-0.00,0.74,0.00,0.72,0.00,24.00,MISS,-1.00
319.18,1.99,2.12,0.53,-0.59,0.94,7.71,38.00,MISS,1.00
341.81,1.99,0.89,0.58,0.58,0.92,7.95,52.00,MISS,1.00
430.19,1.99,3.92,0.64,0.73,0.87,6.97,70.00,MISS,-0.31
503.84,1.99,-0.17,0.69,0.25,0.89,4.00,4.00,MISS,0.67
507.24,1.99,-1.54,0.78,-0.23,0.78,4.76,0.00,MISS,0.02
548.13,1.99,-0.26,0.68,0.28,0.92,3.99,4.00,MISS,0.57
566.52,1.99,1.52,0.69,-0.30,0.82,7.85,20.00,MISS,-0.27
619.23,1.99,-0.46,0.67,0.67,0.83,3.97,4.00,MISS,0.11
620.33,0.10,-1.08,0.68,0.05,0.88,7.93,8.00,MISS,-0.23
625.99,0.10,-0.71,0.77,-0.26,0.75,3.94,0.00,MISS,-1.00
647.33,0.10,0.68,0.68,0.36,0.94,7.97,9.00,MISS,1.00
664.34,0.10,-0.56,0.69,-0.69,0.79,7.98,22.00,MISS,0.81
655.28,0.10,-2.25,0.70,0.74,0.55,7.68,33.00,MISS,0.11
623.76,0.10,0.03,0.49,0.54,0.91,3.00,3.00,HIT,0.90
631.82,0.10,-0.35,0.57,-0.36,0.97,7.99,3.00,MISS,0.92
627.38,0.10,0.50,0.68,0.64,0.93,5.98,2.00,BULLETHITBULLET,0.44
708.08,0.10,3.67,0.73,0.73,0.77,7.11,4.00,BULLETHITBULLET,0.98
651.75,0.10,2.60,0.74,0.66,0.91,6.50,3.00,MISS,0.98
711.06,0.10,0.00,0.87,0.39,0.50,-0.00,0.00,BULLETHITBULLET,0.00
711.40,0.10,2.18,0.58,-0.61,0.96,7.70,24.00,MISS,-0.73
732.00,0.10,0.16,0.85,0.17,0.70,1.99,2.00,MISS,0.98
735.21,0.10,-0.25,0.73,-0.13,0.50,8.00,13.00,MISS,0.62
708.42,0.10,-4.48,0.71,-0.61,0.33,6.63,24.00,BULLETHITBULLET,0.89
673.86,0.10,-1.13,0.84,0.88,0.34,1.65,0.00,MISS,-1.00
685.36,0.10,-0.47,0.41,0.01,0.95,7.99,10.00,MISS,1.00
700.43,0.10,-0.23,0.58,-0.58,0.96,8.00,21.00,MISS,1.00
702.26,0.10,-1.08,0.70,-0.94,0.92,7.93,32.00,HIT,0.93
675.31,0.10,-0.79,0.71,0.95,0.82,7.96,43.00,MISS,0.74
683.51,0.10,0.20,0.70,0.94,0.60,8.00,54.00,MISS,0.08
691.12,0.10,-0.44,0.48,0.39,0.96,5.73,6.00,HIT,0.90
698.68,0.10,-1.37,0.59,-0.44,0.94,7.88,4.00,MISS,0.65
692.77,0.10,-1.46,0.73,0.55,0.92,5.82,2.00,BULLETHITBULLET,0.43
586.65,0.51,1.69,0.65,-0.40,0.94,7.82,13.00,MISS,-0.05
620.92,0.10,-0.00,0.77,0.68,0.81,0.00,0.00,MISS,0.87
643.40,0.10,0.34,0.68,0.12,0.94,7.99,7.00,HIT,0.98
672.13,0.10,1.59,0.71,0.72,0.83,7.84,19.00,MISS,0.64
738.40,0.10,-0.74,0.53,0.34,0.93,3.93,4.00,HIT,0.97
731.73,0.10,0.37,0.67,0.53,0.93,7.99,14.00,MISS,0.09
780.22,0.10,-1.10,0.73,0.46,0.87,2.79,3.00,BULLETHITBULLET,0.97
760.82,0.10,2.19,0.74,0.85,0.82,7.69,25.00,MISS,-0.63
732.86,0.10,0.22,0.60,0.42,0.93,2.99,3.00,MISS,0.59
744.15,0.10,-0.37,0.71,0.11,0.90,6.99,3.00,MISS,0.51
738.34,0.10,-1.22,0.73,-0.67,0.74,7.91,14.00,MISS,0.16
741.47,0.10,1.12,0.65,0.61,0.94,5.89,6.00,MISS,-0.51
739.56,0.10,-0.38,0.84,0.24,0.57,2.98,0.00,HIT,-0.02
740.96,0.10,0.12,0.86,-0.15,0.62,1.24,1.00,MISS,-0.29
729.99,0.10,1.40,0.42,0.19,0.97,6.86,7.00,MISS,0.63
746.26,0.10,1.44,0.63,-0.12,0.95,7.87,7.00,MISS,0.12
753.62,0.10,1.19,0.71,-0.80,0.85,7.91,6.00,MISS,-0.62
764.67,0.10,-0.00,0.87,0.72,0.73,-0.00,0.00,MISS,-0.99
759.94,0.10,-1.56,0.73,0.25,0.85,7.85,12.00,MISS,0.66
747.62,0.10,-0.32,0.74,-0.47,0.66,7.99,24.00,MISS,0.09
743.78,0.10,-0.23,0.45,0.69,0.95,6.00,6.00,MISS,0.46
742.09,0.10,-0.15,0.61,0.10,0.89,0.99,0.00,MISS,0.12
744.32,0.10,0.00,0.76,0.50,0.86,-0.00,0.00,MISS,-0.60
748.67,0.10,-0.03,0.79,0.19,0.73,6.00,6.00,MISS,0.64
749.11,0.10,0.17,0.84,-0.23,0.66,3.50,3.00,MISS,0.63
747.46,0.10,-1.97,0.72,-0.56,0.51,7.75,14.00,MISS,0.21
735.12,0.10,-0.63,0.85,0.63,0.42,1.63,2.00,MISS,-0.25
705.64,0.10,0.70,0.33,0.30,0.92,3.05,2.00,MISS,0.46
708.36,0.10,1.05,0.34,-0.04,0.95,3.63,3.00,MISS,0.11
728.35,0.10,1.11,0.55,0.32,0.96,6.91,3.00,MISS,-0.46
739.17,0.10,0.02,0.68,0.46,0.89,1.00,1.00,MISS,-0.54
768.01,0.10,3.05,0.73,0.22,0.69,7.40,9.00,MISS,0.33
792.42,0.10,-0.00,0.64,-0.54,0.79,0.00,10.00,HIT,0.01
562.90,1.99,-0.00,0.84,0.00,0.09,-0.00,27.00,HIT,-0.00
487.54,1.99,-7.87,0.70,0.30,0.15,1.43,41.00,MISS,-0.36
438.76,1.99,0.33,0.30,0.20,0.90,3.74,4.00,HIT,0.57
476.58,1.99,0.99,0.54,-0.30,0.94,7.94,12.00,MISS,1.00
478.58,1.99,-1.72,0.65,-0.80,0.90,7.81,26.00,MISS,0.55
461.07,1.99,-2.03,0.66,0.82,0.73,7.74,40.00,MISS,-0.27
422.67,1.99,1.92,0.51,0.68,0.83,2.31,3.00,BULLETHITBULLET,0.61
464.65,1.99,0.55,0.74,-0.27,0.88,1.92,0.00,MISS,-0.25
458.87,1.99,2.65,0.74,0.08,0.84,4.53,5.00,MISS,-0.22
514.70,1.99,2.72,0.77,-0.24,0.74,2.93,2.00,MISS,-0.97
530.20,1.99,-1.80,0.70,0.01,0.83,7.80,12.00,MISS,0.60
515.14,1.99,0.53,0.69,-0.72,0.67,7.98,8.00,MISS,-0.36
537.89,1.54,-0.42,0.58,0.69,0.92,3.47,3.00,MISS,0.80
544.78,1.42,-2.00,0.67,-0.12,0.94,7.74,17.00,HIT,0.51
507.13,1.32,-1.28,0.76,0.72,0.87,4.83,5.00,MISS,-0.25
437.77,0.91,0.61,0.71,0.25,0.88,1.91,1.00,MISS,0.29
477.12,0.86,1.51,0.63,-0.11,0.95,7.86,13.00,MISS,-0.35
508.14,0.81,2.81,0.72,0.44,0.93,5.30,6.00,HIT,-0.04
548.77,0.77,-0.13,0.78,-0.30,0.90,2.00,2.00,MISS,0.12
566.55,0.73,-1.15,0.67,0.05,0.88,7.92,9.00,MISS,-0.82
579.40,0.82,2.77,0.73,0.27,0.92,4.16,5.00,MISS,0.75
640.69,0.10,3.86,0.69,-0.37,0.89,7.01,17.00,MISS,0.60
680.98,0.10,0.43,0.83,0.63,0.80,1.95,0.00,MISS,0.21
611.92,0.10,-0.47,0.86,0.61,0.67,0.88,1.00,MISS,-0.55
579.80,1.71,1.41,0.49,-0.12,0.91,3.03,3.00,MISS,-0.34
620.79,0.10,-0.38,0.73,0.23,0.66,5.99,6.00,MISS,0.71
590.98,1.71,-4.61,0.72,-0.07,0.33,6.54,17.00,MISS,-0.32
556.13,1.71,0.38,0.33,0.72,0.90,2.47,2.00,MISS,0.18
563.11,1.71,0.46,0.40,-0.12,0.91,7.99,8.00,MISS,-0.58
565.10,1.71,-1.88,0.78,0.34,0.56,5.17,5.00,HIT,0.96
489.51,1.71,-6.55,0.68,-0.44,0.43,4.60,19.00,MISS,0.44
391.69,1.71,0.42,0.39,-0.07,0.86,1.70,2.00,MISS,0.24
414.10,0.98,-0.00,0.60,0.45,0.80,-0.00,0.00,MISS,-0.40
376.67,0.88,-1.03,0.73,-0.45,0.57,1.71,1.00,MISS,-1.00
386.01,0.80,2.22,0.51,-0.44,0.94,7.68,11.00,MISS,1.00
423.12,0.72,2.51,0.62,0.51,0.95,6.53,1.00,MISS,0.96
423.24,0.66,0.18,0.70,0.46,0.91,5.00,1.00,MISS,1.00
354.88,0.10,-3.50,0.44,0.86,0.74,7.20,7.00,MISS,-0.64
353.86,0.10,2.51,0.51,0.10,0.91,4.32,5.00,MISS,0.54
400.07,0.10,5.50,0.53,0.48,0.89,5.80,16.00,MISS,0.06
406.38,0.10,-0.00,0.80,0.06,0.70,0.00,7.00,HIT,-0.01
408.80,0.10,-0.00,0.78,-0.00,0.72,0.00,18.00,MISS,0.26
405.67,0.13,-0.00,0.75,0.00,0.72,0.00,29.00,MISS,0.75
398.12,0.12,-3.26,0.53,0.55,0.78,7.30,4.00,HIT,-0.74
381.51,0.12,2.65,0.43,-0.20,0.93,7.55,9.00,MISS,1.00
401.22,0.13,1.97,0.47,0.48,0.94,7.75,8.00,MISS,0.78
415.55,0.10,0.77,0.55,0.53,0.96,7.96,19.00,HIT,0.36
386.09,1.99,-0.00,0.80,0.00,0.76,-0.00,26.00,MISS,0.90
425.80,1.99,0.46,0.65,0.54,0.71,7.99,43.00,MISS,-0.32
412.43,1.99,0.79,0.52,0.34,0.88,2.89,3.00,MISS,0.23
452.02,1.99,1.66,0.59,-0.24,0.90,3.64,0.00,MISS,-0.68
449.12,1.99,-3.90,0.65,0.33,0.44,6.98,9.00,MISS,0.33
365.43,1.99,0.49,0.23,0.56,0.84,0.87,1.00,HIT,0.19
385.50,1.99,-2.35,0.75,0.10,0.44,2.59,3.00,BULLETHITBULLET,0.85
382.48,1.99,3.16,0.48,-0.30,0.89,7.35,11.00,BULLETHITBULLET,0.98
407.69,1.99,1.46,0.61,0.50,0.92,7.87,25.00,MISS,0.81
380.59,1.99,-0.28,0.81,0.49,0.84,0.96,1.00,MISS,0.80
333.16,1.99,-1.51,0.55,0.00,0.85,7.86,3.00,MISS,-0.42
372.49,1.99,-1.18,0.60,-0.08,0.92,7.91,9.00,MISS,-0.30
335.66,1.99,-0.71,0.59,0.02,0.87,7.97,9.00,MISS,-0.24
356.85,1.99,0.21,0.59,-0.06,0.92,8.00,11.00,MISS,-0.87
341.41,1.99,-0.79,0.58,-0.20,0.89,7.96,9.00,MISS,0.85
365.56,1.99,-0.75,0.61,0.00,0.62,7.96,3.00,HIT,-0.31
373.43,1.99,0.52,0.41,0.26,0.90,4.97,5.00,MISS,1.00
526.78,1.99,1.69,0.63,0.64,0.92,7.82,17.00,BULLETHITBULLET,-0.95
509.44,1.99,1.61,0.63,0.20,0.90,3.32,4.00,MISS,-0.46
537.80,1.99,-2.08,0.71,-0.20,0.80,7.72,14.00,MISS,0.20
506.68,1.99,-0.11,0.83,0.06,0.88,1.75,0.00,MISS,-1.00
509.48,1.99,1.03,0.70,-0.30,0.93,7.93,13.00,MISS,0.79
537.74,1.99,-0.27,0.71,-0.77,0.77,8.00,28.00,MISS,0.26
537.56,1.99,-0.01,0.82,0.69,0.59,2.00,2.00,MISS,-0.48
554.21,1.71,-0.81,0.59,0.35,0.94,7.46,7.00,MISS,0.15
545.13,1.71,0.13,0.69,-0.36,0.93,8.00,12.00,MISS,-0.36
553.47,1.71,-0.61,0.75,0.37,0.82,6.97,7.00,MISS,-0.04
549.27,0.28,1.10,0.60,-0.41,0.92,3.85,4.00,MISS,0.75
533.88,0.40,3.59,0.58,0.18,0.93,7.15,8.00,MISS,0.70
577.90,0.57,2.42,0.57,0.70,0.94,7.63,5.00,MISS,-0.18
560.04,0.98,-0.43,0.80,0.22,0.87,1.95,2.00,MISS,1.00
532.69,0.10,-0.11,0.65,-0.13,0.97,8.00,14.00,MISS,1.00
553.65,0.10,2.08,0.62,0.76,0.91,7.73,26.00,MISS,0.76
576.19,0.10,1.79,0.64,0.84,0.75,7.80,37.00,MISS,0.76
550.07,0.10,-0.09,0.82,0.66,0.52,1.00,1.00,MISS,0.76
497.25,0.10,-6.36,0.64,0.57,0.44,4.86,10.00,MISS,0.46
438.25,0.10,-0.00,0.26,0.76,0.79,-0.00,1.00,HIT,0.14
510.76,1.99,-0.00,0.80,0.00,0.84,0.00,25.00,MISS,0.94
546.28,1.99,2.35,0.72,0.40,0.86,7.65,43.00,MISS,0.79
559.34,1.99,-1.31,0.71,0.80,0.86,7.89,57.00,MISS,0.16
480.67,1.99,1.81,0.67,0.35,0.92,5.72,6.00,BULLETHITBULLET,0.98
519.58,1.99,1.14,0.70,0.27,0.92,3.83,4.00,BULLETHITBULLET,0.58
517.93,1.99,1.58,0.64,-0.30,0.94,7.84,20.00,MISS,0.79
547.74,1.99,2.62,0.66,0.61,0.90,7.56,18.00,HIT,0.78
577.40,1.99,0.64,0.77,0.36,0.71,6.72,7.00,MISS,0.10
608.79,1.99,1.34,0.74,0.71,0.53,7.89,21.00,MISS,-0.72
619.20,1.99,-0.96,0.53,0.34,0.91,7.94,11.00,MISS,0.19
613.35,1.99,0.83,0.66,-0.46,0.82,7.96,7.00,MISS,-0.65
646.32,1.99,-0.14,0.70,0.48,0.81,5.00,5.00,MISS,0.57
644.41,1.99,-0.06,0.74,-0.18,0.61,8.00,19.00,MISS,0.21
645.17,1.99,-2.14,0.76,-0.60,0.48,7.71,33.00,MISS,-0.45
655.83,1.99,-0.11,0.50,0.63,0.92,6.00,1.00,HIT,0.17
683.38,0.10,2.36,0.75,0.27,0.85,5.52,6.00,BULLETHITBULLET,0.98
673.20,1.99,1.50,0.83,0.21,0.66,2.19,2.00,MISS,-0.38
705.68,1.99,0.28,0.69,-0.10,0.84,3.99,4.00,MISS,-0.46
705.59,1.99,0.00,0.78,0.28,0.66,-0.00,0.00,HIT,-1.00
674.01,1.99,2.42,0.71,0.06,0.82,7.62,14.00,MISS,0.68
694.02,1.71,-1.17,0.73,-0.29,0.75,7.91,28.00,HIT,0.14
619.08,1.99,1.89,0.58,0.73,0.92,4.63,5.00,MISS,-0.29
623.69,1.99,-2.97,0.74,0.07,0.80,7.43,10.00,MISS,-0.37
571.32,1.99,3.63,0.51,0.11,0.92,7.13,12.00,MISS,0.15
605.53,1.99,4.45,0.49,-0.29,0.90,6.65,26.00,MISS,-0.57
